id,x,y
0d44lux7nsl31,-3.54,0.19
0d4dm9m3jfm31,-17.29,-1.14
0d4u3ou1mxl31,-3.55,0.2
0d4u6vojavl31,-3.55,0.19
0d4wg7bv4sl31,-3.55,0.19
0d7hr4oao4m31,-17.32,-0.77
0d7sx9679tl31,-3.52,0.21
0d878ozz4yl31,-3.58,0.18
0d9xz0w9dyl31,-3.54,0.2
0daef3sq3sl31,-17.78,-0.69
0daixgc491m31,-3.54,0.17
0dal3my95vl31,-3.56,0.2
0db8vauliwl31,1.44,-3.07
0dbi3237pnl31,-17.66,0.17
0dbypcx119m31,-0.51,-2.4
0deeb2yessl31,-3.56,0.19
0dg25d14lam31,-3.57,0.19
0dgjk6ki48m31,-1.85,2.07
0dhnyxoma6m31,-3.57,0.19
0diimnr9lcm31,-3.56,0.18
0dijknb4wwl31,-3.48,0.25
0dim2nvqrml31,0.08,-2.02
0djo2c8033m31,-3.56,0.19
0dk16rxwhdm31,-3.58,0.2
0dkox2od9tl31,-3.56,0.23
0dkzzys055m31,-3.52,0.23
0dll8xm6c5m31,-3.54,0.21
0dlp20gulul31,-3.55,0.19
0dls0nsqdvl31,-3.54,0.18
0dls7mcucvl31,-3.55,0.19
0dnirb43izl31,-3.55,0.21
0dofoyc06ol31,-17.41,-0.33
0don3qydhcm31,-17.33,0.05
0dov571846m31,1.89,-0.52
0dp44wtjz2m31,-3.56,0.19
0dplb0bt3vl31,-17.49,-0.85
0dpsabmyzxl31,1.79,-1.41
0dqlzqhr7sl31,-3.46,0.13
0ds42klucfm31,-3.54,0.18
0dssqd4qenl31,-3.55,0.2
0dvb55y1avl31,-3.6,0.16
0dvga4okcnl31,-16.93,-0.88
0dwtjky5bsl31,-1.02,-0.57
0dwvx6ine9m31,-0.52,-2.4
0dxckqttyxl31,-0.44,3.12
0dxxcapzm6m31,-3.56,0.19
0dyke8hovwl31,-3.55,0.21
0dyt8z6p23m31,-16.67,-0.21
0dz07v6k00m31,-17.54,-1.12
0dzkynl9zyl31,-3.55,0.19
0e2ftqthuvl31,-0.07,-1.57
0e2gxbmqjtl31,-3.56,0.19
0e2yx5vw7xl31,-3.46,0.13
0e4veo2m2zl31,-3.55,0.19
0e78jcvef7m31,-3.57,0.19
